STUDENT_ID,GENDER,AGE_1_YEAR,REGION,DEPARTMENT,GRADE_204111,GRADE_204222,GRADE_204333,GRADE_204444,GRADE_204555,GRADE_204666
5305,m,Medium,Southern,Environmental Engineering,Medium,Medium,High,High,High,High
5306,m,High,Northeastern,Environmental Engineering,High,High,High,High,High,Medium
5308,m,Low,Southern,Machanic Engineering,High,Medium,Medium,Medium,Medium,High
5309,m,Medium,Central,Electrical Engineering,Medium,High,Medium,High,High,High
5310,m,Medium,Central,Chemical Engineering,High,High,Medium,Medium,High,Medium
5315,m,Medium,Southern,Electrical Engineering,High,High,High,High,High,High
5316,m,Low,Northen,Environmental Engineering,Medium,High,Medium,High,High,High
5868,m,Low,Northen,Chemical Engineering,High,High,High,Medium,High,High
5870,m,Medium,Bangkok,Chemical Engineering,Medium,High,High,High,Medium,High
5872,m,High,Bangkok,Electrical Engineering,High,High,High,High,High,High
5873,m,High,Central,Environmental Engineering,High,High,High,Medium,High,High
5876,m,Low,Southern,Environmental Engineering,High,High,High,High,High,High
5877,m,Low,Southern,Environmental Engineering,Medium,High,Medium,High,High,High
5878,m,Low,Bangkok,Civil Engineering,High,High,High,High,Medium,Medium
5884,m,Low,Northen,Electrical Engineering,Medium,High,High,High,Medium,High
5886,m,Low,Northen,Electrical Engineering,High,High,High,High,High,Medium
5890,f,Medium,Bangkok,Electrical Engineering,Medium,Medium,High,High,Medium,High
5892,m,Low,Southern,Chemical Engineering,High,Medium,High,High,Medium,High
5894,m,High,Northen,Civil Engineering,High,High,High,Medium,Medium,High
5895,f,Medium,Southern,Electrical Engineering,High,High,High,High,High,High
5896,m,High,Northeastern,Electrical Engineering,Medium,High,Medium,High,High,High
5898,m,Low,Northeastern,Computer Engineering,High,High,High,High,High,High
5900,m,Medium,Northen,Environmental Engineering,High,High,High,Medium,Medium,High
5901,m,High,Southern,Environmental Engineering,High,High,High,Medium,Medium,High
5904,m,High,Southern,Chemical Engineering,High,High,High,High,Medium,High
5905,m,Medium,Central,Chemical Engineering,High,Medium,Medium,High,Medium,High
5906,m,Low,Northeastern,Civil Engineering,High,Medium,Medium,High,High,High
5909,f,Medium,Central,Environmental Engineering,Medium,High,High,High,High,Medium
5910,m,Medium,Northeastern,Electrical Engineering,High,High,High,Medium,High,High
5913,m,Low,Central,Electrical Engineering,High,High,Medium,High,Medium,High
5914,f,Low,Northen,Electrical Engineering,High,High,High,Medium,High,High
5916,m,Low,Bangkok,Chemical Engineering,Medium,High,High,High,High,Medium
5918,m,Low,Northen,Electrical Engineering,High,Medium,High,High,High,High
5922,m,High,Northeastern,Civil Engineering,Medium,Medium,High,High,High,Medium
5924,m,Low,Bangkok,Machanic Engineering,High,High,High,High,High,High
5926,m,Low,Northen,Computer Engineering,High,High,High,High,High,Medium
5928,m,High,Central,Electrical Engineering,Medium,High,High,High,High,High
5930,m,Medium,Northen,Computer Engineering,High,High,High,High,High,High
5932,m,Low,Southern,Environmental Engineering,High,Medium,High,Medium,High,High
5935,m,Medium,Southern,Environmental Engineering,Medium,Medium,High,High,Medium,Medium
5938,m,Low,Northeastern,Environmental Engineering,High,High,High,High,High,High
5946,f,Low,Northeastern,Electrical Engineering,High,High,High,High,High,Medium
5950,m,Medium,Bangkok,Electrical Engineering,High,High,Medium,High,High,Medium
5952,m,High,Bangkok,Electrical Engineering,High,High,High,High,High,High
5954,m,Low,Central,Computer Engineering,High,High,High,Medium,High,Medium
5956,m,Low,Southern,Civil Engineering,High,Medium,High,Medium,High,High
5958,f,Low,Central,Electrical Engineering,Medium,High,High,High,High,High
5960,m,Medium,Northeastern,Electrical Engineering,High,High,High,High,High,High
5965,f,Medium,Southern,Electrical Engineering,High,High,High,High,High,High
5966,m,Low,Southern,Environmental Engineering,Medium,High,High,High,High,Medium
5968,m,High,Southern,Machanic Engineering,High,High,Medium,High,High,High
5969,f,Medium,Southern,Electrical Engineering,High,High,High,Medium,Medium,High
5970,m,Medium,Southern,Environmental Engineering,High,High,High,High,High,High
5971,m,High,Southern,Civil Engineering,Medium,Medium,High,High,Medium,High
5972,m,Low,Northen,Chemical Engineering,High,High,Medium,High,Medium,High
5974,m,Low,Northen,Electrical Engineering,High,High,High,High,High,Medium
5976,m,High,Northen,Environmental Engineering,High,High,High,Medium,High,High
5977,m,Medium,Central,Chemical Engineering,Medium,Medium,High,High,Medium,High
5983,m,Medium,Central,Electrical Engineering,High,Medium,High,High,High,High
5986,m,Low,Central,Machanic Engineering,Medium,High,High,High,High,High
5988,m,Low,Northeastern,Environmental Engineering,High,High,High,High,High,High
5989,f,Medium,Central,Civil Engineering,High,High,Medium,Medium,Medium,High
5990,m,Medium,Central,Machanic Engineering,Medium,High,High,High,High,High
5992,m,High,Southern,Chemical Engineering,High,High,High,High,High,Medium
5996,m,Low,Bangkok,Electrical Engineering,High,High,Medium,High,High,High
5997,m,Medium,Central,Chemical Engineering,Medium,High,High,High,High,Medium
5998,m,Low,Central,Electrical Engineering,High,High,High,High,High,High
6006,m,High,Southern,Civil Engineering,High,Medium,High,High,High,High
6007,m,Medium,Southern,Environmental Engineering,High,High,Medium,Medium,High,High
6010,f,Medium,Central,Chemical Engineering,High,High,High,Medium,High,High
6012,m,Low,Southern,Chemical Engineering,High,High,High,Medium,High,High
6014,m,Low,Bangkok,Machanic Engineering,Medium,High,Medium,High,High,High
6016,m,High,Bangkok,Chemical Engineering,High,High,High,High,Medium,Medium
6018,m,Low,Bangkok,Civil Engineering,High,High,High,High,High,High
6019,m,Medium,Southern,Chemical Engineering,High,High,High,Medium,Medium,High
6020,f,Medium,Northeastern,Electrical Engineering,Medium,High,High,High,High,High
6026,m,Low,Bangkok,Electrical Engineering,High,High,High,Medium,Medium,Medium
6028,m,Low,Northen,Chemical Engineering,High,Medium,High,Medium,High,High
6029,m,Medium,Southern,Electrical Engineering,Medium,High,High,High,Medium,High
6030,m,Medium,Bangkok,Electrical Engineering,High,High,High,Medium,High,High
6031,m,Medium,Southern,Environmental Engineering,High,Medium,Medium,High,Medium,High
6033,m,Medium,Southern,Machanic Engineering,Medium,High,High,High,High,High
6036,m,Low,Central,Machanic Engineering,High,Medium,High,High,Medium,High
6037,m,Medium,Southern,Electrical Engineering,High,Medium,High,High,High,High
6043,f,Medium,Central,Electrical Engineering,High,High,High,High,High,High
6044,m,Low,Central,Environmental Engineering,High,High,High,Medium,Medium,High
6045,m,Medium,Central,Chemical Engineering,High,High,High,High,High,High
6046,m,Low,Southern,Civil Engineering,Medium,High,High,High,High,High
6048,m,High,Northeastern,Chemical Engineering,High,High,High,High,High,High
6050,m,Medium,Southern,Electrical Engineering,High,High,High,High,Medium,High
6052,m,Low,Bangkok,Electrical Engineering,High,Medium,High,High,High,High
6054,f,Low,Northen,Electrical Engineering,High,High,High,High,High,High
5398,m,Low,Southern,Electrical Engineering,High,High,High,Medium,High,Medium
5406,f,Low,Northen,Environmental Engineering,High,High,Medium,Medium,Medium,High
5407,m,Medium,Southern,Electrical Engineering,Medium,Medium,High,High,High,High
5412,m,Low,Central,Chemical Engineering,High,High,High,High,High,High
5413,m,Medium,Central,Electrical Engineering,High,High,High,Medium,High,High
5415,m,Medium,Central,Chemical Engineering,Medium,Medium,High,High,High,Medium
5416,m,High,Northen,Environmental Engineering,High,High,High,High,High,Medium
5418,m,High,Bangkok,Environmental Engineering,High,Medium,High,High,High,High
5420,m,Medium,Southern,Electrical Engineering,High,High,High,High,High,High
5421,m,Medium,Southern,Civil Engineering,Medium,High,High,High,High,Medium
5424,m,High,Northen,Electrical Engineering,High,High,High,High,High,High
5426,m,Low,Northen,Machanic Engineering,High,Medium,High,High,Medium,Medium
5428,f,Low,Northeastern,Environmental Engineering,High,Medium,High,High,High,Medium
5430,m,Medium,Northen,Machanic Engineering,High,Medium,High,High,High,High
5433,m,Medium,Central,Electrical Engineering,Medium,High,High,High,Medium,High
5444,m,Low,Central,Chemical Engineering,High,High,High,Medium,High,Medium
5445,m,Medium,Southern,Environmental Engineering,High,High,Medium,High,Medium,High
5446,m,High,Southern,Civil Engineering,Medium,Medium,Medium,High,High,High
5448,m,High,Central,Electrical Engineering,High,High,High,High,High,Medium
5450,m,Medium,Bangkok,Chemical Engineering,High,High,High,High,High,High
5452,m,Low,Northeastern,Civil Engineering,Medium,High,High,High,High,Medium
5453,m,High,Central,Environmental Engineering,High,High,High,High,High,High
5458,m,Low,Bangkok,Civil Engineering,High,High,High,Medium,Medium,High
5466,f,Low,Northeastern,Electrical Engineering,High,High,High,High,High,Medium
5470,m,Medium,Bangkok,Electrical Engineering,High,High,Medium,High,High,Medium
5472,m,High,Southern,Environmental Engineering,Medium,High,High,High,Medium,Medium
5474,m,High,Northen,Civil Engineering,High,High,Medium,High,High,High
5475,m,Medium,Southern,Electrical Engineering,High,Medium,High,High,High,Medium
5476,m,Low,Central,Machanic Engineering,High,Medium,High,Medium,Medium,Medium
5478,m,Low,Northeastern,Computer Engineering,Medium,High,High,High,High,High
5480,m,Medium,Northen,Environmental Engineering,High,High,High,High,High,Medium
5481,m,High,Southern,Environmental Engineering,High,Medium,Medium,High,High,High
5484,f,Low,Bangkok,Environmental Engineering,Medium,High,High,High,High,Medium
5485,m,Medium,Central,Chemical Engineering,High,High,High,Medium,High,Medium
5486,m,Low,Northeastern,Civil Engineering,High,High,High,Medium,High,High
5488,m,High,Northeastern,Chemical Engineering,Medium,High,Medium,High,High,High
5490,m,Medium,Northeastern,Electrical Engineering,High,High,Medium,Medium,High,Medium
5492,m,Low,Central,Electrical Engineering,High,High,High,Medium,High,Medium
5494,m,Low,Northen,Electrical Engineering,High,High,High,Medium,High,Medium
5496,m,High,Southern,Civil Engineering,Medium,High,High,High,Medium,Medium
5498,m,Low,Northen,Electrical Engineering,High,Medium,Medium,High,High,High
5502,m,High,Northeastern,Civil Engineering,Medium,Medium,Medium,High,High,High
5506,m,Low,Northen,Computer Engineering,High,High,High,High,High,High
5508,m,Low,Northeastern,Chemical Engineering,Medium,High,Medium,High,High,High
5510,m,Medium,Northen,Computer Engineering,High,High,High,High,High,High
5512,m,High,Central,Chemical Engineering,High,High,High,Medium,Medium,High
5515,m,Medium,Southern,Environmental Engineering,Medium,Medium,High,High,Medium,High
5516,f,High,Northeastern,Environmental Engineering,High,High,Medium,High,Medium,Medium
5518,m,Low,Northeastern,Environmental Engineering,High,High,Medium,High,High,High
5524,f,Low,Southern,Chemical Engineering,High,Medium,High,High,High,Medium
5526,m,Low,Central,Electrical Engineering,High,High,High,High,High,Medium
5530,m,Medium,Bangkok,Electrical Engineering,Medium,Medium,High,High,Medium,High
5532,m,Low,Northen,Electrical Engineering,High,High,Medium,High,High,High
5534,m,Low,Central,Computer Engineering,High,Medium,High,High,Medium,High
5536,m,High,Northeastern,Electrical Engineering,Medium,High,Medium,High,High,High
5538,m,Low,Southern,Electrical Engineering,High,High,High,High,High,High
5540,f,Medium,Northeastern,Electrical Engineering,High,High,Medium,Medium,High,High
5545,f,Medium,Southern,Electrical Engineering,Medium,Medium,Medium,High,High,High
5546,m,Low,Southern,Environmental Engineering,High,Medium,High,High,High,Medium
5548,m,Low,Central,Electrical Engineering,High,Medium,High,Medium,High,Medium
5549,m,Medium,Southern,Electrical Engineering,Medium,High,High,High,Medium,High
5550,m,Medium,Southern,Environmental Engineering,High,High,High,Medium,High,High
5551,f,High,Southern,Civil Engineering,High,Medium,Medium,High,Medium,High
5554,m,Low,Northen,Electrical Engineering,Medium,High,Medium,High,High,High
5556,m,Low,Northen,Chemical Engineering,High,Medium,High,High,Medium,High
5557,m,Medium,Central,Chemical Engineering,High,Medium,High,High,Medium,High
5562,m,Low,Southern,Environmental Engineering,High,High,High,High,High,High
5563,m,Medium,Central,Electrical Engineering,High,Medium,High,High,High,High
5564,m,Low,Northen,Civil Engineering,High,High,High,High,High,High
5566,m,Low,Central,Machanic Engineering,Medium,High,High,High,High,High
5568,m,High,Northen,Chemical Engineering,High,High,Medium,High,High,High
5569,f,Medium,Central,Civil Engineering,High,High,Medium,Medium,Medium,High
5570,m,Medium,Central,Machanic Engineering,Medium,High,High,High,High,High
5574,m,Low,Bangkok,Environmental Engineering,High,High,High,High,High,High
5577,f,Medium,Central,Chemical Engineering,High,High,High,Medium,High,High
5578,m,Low,Central,Electrical Engineering,Medium,High,Medium,High,High,High
5584,f,High,Bangkok,Environmental Engineering,Medium,High,High,High,Medium,Medium
5586,m,High,Southern,Civil Engineering,High,Medium,High,High,High,High
5587,m,Medium,Southern,Environmental Engineering,High,High,Medium,Medium,High,High
5588,m,Low,Northeastern,Machanic Engineering,Medium,High,High,High,High,High
5590,m,Medium,Central,Chemical Engineering,High,High,High,Medium,High,High
5592,m,High,Bangkok,Electrical Engineering,High,High,High,Medium,High,Medium
5594,m,Low,Bangkok,Machanic Engineering,Medium,High,Medium,High,High,High
5596,m,Low,Northen,Environmental Engineering,High,Medium,Medium,High,High,High
5598,m,Low,Central,Electrical Engineering,High,High,High,High,High,High
5599,m,Medium,Southern,Chemical Engineering,High,High,High,Medium,Medium,High
5600,m,Medium,Northeastern,Electrical Engineering,Medium,High,High,High,High,High
5604,m,Low,Northen,Electrical Engineering,High,Medium,High,High,High,High
5606,f,Low,Bangkok,Electrical Engineering,High,High,High,Medium,Medium,Medium
5608,m,High,Bangkok,Civil Engineering,High,High,High,Medium,High,High
5609,m,Medium,Southern,Electrical Engineering,Medium,High,High,High,Medium,High
5610,m,Medium,Bangkok,Electrical Engineering,High,High,High,Medium,High,High
5611,m,Medium,Southern,Environmental Engineering,High,Medium,Medium,High,Medium,High
5612,m,Low,Northeastern,Chemical Engineering,High,High,High,High,High,Medium
5613,m,Medium,Southern,Machanic Engineering,Medium,High,High,High,High,High
5616,m,High,Northeastern,Electrical Engineering,High,High,Medium,High,High,High
5617,m,Medium,Southern,Electrical Engineering,High,Medium,High,High,High,High
5625,m,Medium,Central,Chemical Engineering,High,High,High,Medium,High,Medium
5626,m,Low,Southern,Civil Engineering,High,High,High,High,High,High
5630,m,Medium,Southern,Electrical Engineering,Medium,High,High,High,High,High
5632,m,High,Northen,Machanic Engineering,High,High,High,High,High,High
5636,m,Low,Central,Chemical Engineering,High,High,High,High,Medium,High
5637,m,Medium,Southern,Computer Engineering,Medium,High,High,High,High,High
5638,m,Low,Central,Electrical Engineering,High,High,Medium,High,High,High
5642,m,High,Bangkok,Civil Engineering,High,High,High,High,High,High
5646,m,Low,Northen,Computer Engineering,High,High,High,High,High,High
5650,m,Medium,Southern,Electrical Engineering,Medium,Medium,High,High,High,High
5652,m,Low,Northen,Machanic Engineering,High,High,High,High,High,Medium
5654,m,Low,Northen,Civil Engineering,High,Medium,High,High,High,High
5655,m,Medium,Southern,Environmental Engineering,Medium,Medium,High,High,Medium,High
5656,m,High,Northen,Chemical Engineering,High,High,High,High,High,High
5658,m,Low,Northeastern,Environmental Engineering,High,High,Medium,High,High,High
5660,m,Medium,Bangkok,Chemical Engineering,High,High,High,High,Medium,High
5664,m,High,Central,Environmental Engineering,High,High,High,High,High,High
5666,m,Low,Bangkok,Electrical Engineering,High,High,High,Medium,Medium,High
5668,m,Low,Northeastern,Chemical Engineering,Medium,High,High,High,High,High
5670,m,Medium,Bangkok,Electrical Engineering,High,High,High,Medium,High,High
5675,m,Medium,Central,Machanic Engineering,High,High,High,High,Medium,High
5676,m,Low,Southern,Civil Engineering,Medium,High,High,High,High,Medium
5684,f,High,Northen,Civil Engineering,High,High,High,Medium,High,High
5685,m,Medium,Southern,Electrical Engineering,High,High,High,High,High,Medium
5686,m,Low,Northen,Environmental Engineering,Medium,High,High,High,High,High
5688,f,High,Southern,Machanic Engineering,High,High,High,High,High,High
5690,m,Medium,Northen,Environmental Engineering,High,High,High,High,Medium,High
5691,m,High,Southern,Environmental Engineering,Medium,Medium,High,High,Medium,Medium
5692,m,Low,Central,Chemical Engineering,High,Medium,High,High,High,Medium
5694,m,Low,Northen,Electrical Engineering,High,High,High,High,High,High
5697,m,Low,Southern,Computer Engineering,Medium,High,High,High,High,High
5698,m,High,Bangkok,Civil Engineering,High,High,High,High,High,Medium
5704,m,High,Northen,Electrical Engineering,Medium,High,Medium,High,High,High
5706,f,Low,Northeastern,Electrical Engineering,High,High,High,High,High,High
5708,m,Low,Bangkok,Environmental Engineering,High,High,High,High,High,High
5710,m,Medium,Northen,Machanic Engineering,Medium,Medium,High,High,High,High
5712,m,High,Southern,Chemical Engineering,High,High,High,High,High,High
5714,m,Low,Central,Environmental Engineering,High,Medium,Medium,High,High,High
5716,m,Low,Northeastern,Electrical Engineering,Medium,High,High,High,Medium,High
5718,m,Low,Central,Electrical Engineering,High,High,Medium,High,High,High
5720,m,Medium,Northen,Chemical Engineering,High,High,High,Medium,High,Medium
5725,m,Medium,Southern,Environmental Engineering,High,High,Medium,High,Medium,High
5726,m,High,Northeastern,Environmental Engineering,Medium,High,Medium,High,Medium,High
5728,m,High,Central,Electrical Engineering,High,High,High,High,High,Medium
5729,m,Medium,Central,Electrical Engineering,High,High,High,High,Medium,High
5730,m,Medium,Central,Chemical Engineering,Medium,Medium,High,High,High,High
5732,m,Low,Bangkok,Civil Engineering,High,High,Medium,High,High,High
5735,m,Medium,Southern,Electrical Engineering,High,High,High,Medium,High,High
5736,m,High,Bangkok,Chemical Engineering,High,High,High,Medium,Medium,High
5742,m,Low,Central,Chemical Engineering,High,High,High,High,Medium,High
5746,m,Low,Northeastern,Electrical Engineering,High,High,High,High,High,Medium
5748,m,Low,Northen,Chemical Engineering,Medium,High,Medium,High,High,High
5750,m,Medium,Northeastern,Electrical Engineering,High,High,High,High,High,High
5752,m,High,Southern,Environmental Engineering,High,High,Medium,Medium,High,High
5755,m,Medium,Southern,Electrical Engineering,Medium,Medium,High,High,High,High
5756,m,Low,Northen,Electrical Engineering,High,High,High,High,High,High
5758,m,Low,Northeastern,Computer Engineering,High,High,High,High,High,High
5761,m,High,Southern,Civil Engineering,High,High,High,High,Medium,High
5764,f,Low,Bangkok,Environmental Engineering,High,Medium,High,Medium,High,High
5766,m,Low,Southern,Civil Engineering,Medium,High,High,High,High,High
5767,m,Medium,Central,Chemical Engineering,High,High,High,High,Medium,High
5770,m,Medium,Northeastern,Electrical Engineering,High,High,High,High,High,High
5772,m,Low,Bangkok,Electrical Engineering,High,Medium,High,High,High,High
5773,f,Medium,Central,Electrical Engineering,High,Medium,High,High,High,High
5774,m,Low,Southern,Electrical Engineering,High,Medium,High,High,High,High
5776,m,High,Southern,Environmental Engineering,Medium,High,High,High,Medium,High
5777,m,Medium,Central,Electrical Engineering,High,High,High,High,High,High
5779,f,Medium,Central,Civil Engineering,High,Medium,High,High,Medium,High
5780,f,Medium,Central,Machanic Engineering,High,High,Medium,High,High,High
5781,m,Medium,Central,Machanic Engineering,Medium,High,High,High,High,High
5782,m,High,Northeastern,Civil Engineering,High,High,Medium,High,High,High
5786,m,Low,Southern,Computer Engineering,High,Medium,High,High,Medium,Medium
5788,m,Low,Bangkok,Civil Engineering,High,Medium,High,High,High,Medium
5794,f,Low,Central,Environmental Engineering,High,High,Medium,Medium,Medium,High
5797,f,Medium,Southern,Environmental Engineering,Medium,Medium,High,High,High,Medium
5798,m,Low,Bangkok,Environmental Engineering,High,Medium,High,High,High,High
5804,m,Low,Northeastern,Chemical Engineering,Medium,High,High,High,High,Medium
5806,m,Low,Northeastern,Electrical Engineering,High,High,High,High,High,High
5808,m,High,Northeastern,Environmental Engineering,High,High,High,High,Medium,High
5809,f,Medium,Southern,Chemical Engineering,High,High,High,Medium,High,High
5812,m,Low,Northen,Electrical Engineering,High,Medium,High,High,Medium,High
5814,m,Low,Bangkok,Environmental Engineering,High,High,Medium,High,Medium,High
5818,m,Low,Southern,Electrical Engineering,Medium,High,High,High,High,High
5826,m,Low,Northen,Environmental Engineering,Medium,High,High,High,High,Medium
5827,m,Medium,Southern,Electrical Engineering,High,High,Medium,High,High,High
5828,m,Low,Northen,Electrical Engineering,High,High,Medium,Medium,High,High
5830,m,Medium,Southern,Environmental Engineering,High,High,High,High,High,High
5832,m,High,Northeastern,Civil Engineering,High,High,High,High,High,Medium
5833,m,Medium,Central,Electrical Engineering,High,Medium,High,High,High,Medium
5834,m,Low,Southern,Electrical Engineering,High,Medium,High,High,High,Medium
5835,f,Medium,Central,Chemical Engineering,Medium,Medium,High,High,High,High
5836,f,Low,Northen,Chemical Engineering,High,Medium,High,High,Medium,High
5838,m,High,Bangkok,Environmental Engineering,High,Medium,High,High,High,High
5840,f,Medium,Southern,Electrical Engineering,High,High,High,High,High,High
5841,m,Low,Central,Machanic Engineering,Medium,High,High,High,High,High
5846,m,Low,Northen,Machanic Engineering,High,High,High,Medium,High,High
5850,m,Medium,Northen,Machanic Engineering,Medium,Medium,High,High,High,High
5852,m,High,Bangkok,Civil Engineering,High,High,High,High,Medium,High
5853,m,Medium,Central,Electrical Engineering,High,High,Medium,High,Medium,High
5854,m,Low,Bangkok,Environmental Engineering,High,High,High,Medium,Medium,High
5856,m,High,Central,Electrical Engineering,Medium,High,Medium,High,High,High
5865,m,Medium,Southern,Environmental Engineering,High,High,High,High,Medium,High
3697,f,Medium,Southern,Environmental Engineering,Medium,Medium,High,High,High,Medium
3698,m,Low,Bangkok,Environmental Engineering,High,Medium,High,High,High,High
3706,f,Low,Northeastern,Electrical Engineering,High,High,High,Medium,High,High
3708,m,Low,Central,Electrical Engineering,Medium,High,Medium,High,High,High
3709,f,Medium,Southern,Chemical Engineering,High,High,High,High,High,High
3710,m,Medium,Northeastern,Electrical Engineering,High,High,Medium,Medium,High,Medium
3712,m,High,Bangkok,Electrical Engineering,Medium,High,Medium,High,High,High
3716,m,Low,Northeastern,Environmental Engineering,High,High,Medium,High,High,High
3718,m,Low,Southern,Electrical Engineering,High,High,High,High,High,Medium
3727,m,Medium,Southern,Electrical Engineering,High,Medium,High,High,High,High
3730,m,Medium,Southern,Environmental Engineering,High,High,High,High,High,High
3732,m,Low,Central,Chemical Engineering,High,Medium,High,High,High,Medium
3733,m,Medium,Central,Electrical Engineering,High,Medium,High,High,High,High
3734,m,Low,Southern,Electrical Engineering,High,Medium,High,High,High,High
3735,m,Medium,Central,Chemical Engineering,Medium,Medium,High,High,High,Medium
3736,m,High,Northen,Environmental Engineering,High,High,High,High,High,Medium
3740,m,Medium,Southern,Electrical Engineering,High,High,High,Medium,Medium,High
